prompt,response,essay_score,essay_set,bloom_level,label_score,rationale
The writers had to read an extract from *Winter Hibiscus* by Minfong Ho. They then had to explain why the author concludes the story in the way that she did.,"The author concludes the story with this paragraph because the question of what about her test? Needed to be answered and that's when she'd to comfortable to take it. In the text. To her, the plant felt smooth and cool just as she had known it, which was comforting. She closed her palm around it and held it tight. That, at least, she could hold on to. Unlike her grandmother, she felt a wave of loss so deep and strong that it stung her eyes, with sadness, and maybe disapointment, which she probably word want to deal with for a while, hinted at in the conclusion her mother even uttered a small cry of surprise and delight to see the flower, even before being shocked when Saeng reveals she paid all of over nineteen dollars for it. With this concluding paragraph, I believe that she will be more comfortable at the time. planned because she'll have new and old things to come home to, such as the geese and plant.                ",2,4,Analyze,5,"The question requires students to break down the author's conclusion and explain the underlying reasons, which aligns with the 'Analyze' level."
The writers had to read an extract from *Winter Hibiscus* by Minfong Ho. They then had to explain why the author concludes the story in the way that she did.,"I think the author concludes the story with this paragraph because new beginnings.What I mean by this is,the hibiscus represents new beginnings.She says When the hibiscus is budding ,then I will take the test again "".This will be a new start for her  .The plant  blooming makes her happy and reminds her of her grandmother.She's saying by the time the spring comes around she  would be ready for a  new obstacle as so for the hibiscus plant.""",2,4,Analyze,5,"The question requires students to break down the author's conclusion and explain the underlying reasons, which aligns with the 'Analyze' level."
The writers had to write a letter to their local newspaper in which they stated their opinion on the effects computers have on people.,"Computers, a very much talked about subject. Did you know that @PERCENT1 of homes in @LOCATION1 own at least one computer. And that goes for about @PERCENT2 in @LOCATION2. Some people don't like that this is true, but on the other hand some people do. I have a computer, it can do so much, for example it can help me with writing, I can play games on it and socialize with social networking sites and ""I.M.'s"", it can even help me order a product form a website like @ORGANIZATION1, @LOCATION3, or @LOCATION4. Like I said, I have a computer and I can use it to help me write. At school in english, I would use my computer to help me with a writing prompt. I also use it to write conclusions for science labs. There are a lot of other kids that do this as well, it really is very helpful. That is only one of the reasons I think computers are beneficial to society. Another reason I think computers are beneficial to society is because you can play games on them, like ""world of warcraft"", ""@CAPS1 @CAPS2 @NUM1"", or classics like ""@CAPS3 @CAPS4 @CAPS5"". There are millions of people that play games on the computer. Also you can socialize with social networking sites, like @CAPS6 and twitter, and also because you can ""I.M."" your friends. I.M. stands for @CAPS7 messaging, and it is kind of like email except it is just about instantaneous, and so you and friend can have a conversation over the computer. Also there is video chatting, where it is kind of like a phone except you can see the person you're talking to and it is over the computer, so it is almost like you and the person you are videochatting with are meeting face to face, but your not. A third reason I feel that computers are beneficial to society is because you can order a product over the internet form shop websites. For example, I got my @CAPS8 from @LOCATION3, and also the bulb for a @CAPS9 in my house is wearing out, so my dad is going to buy a @LOCATION1 bulb on @ORGANIZATION1. It is things like this that make life that much easier for the @CAPS10 @PERSON1, because this way these people don't have to drive to the store to buy something, that is, if they can wait a week or two for the product to arrive. These are the kinds of things that make me feel that computers are beneficial to society. I know they might not be the best reasons, but they are quite important to me. Being able to type essays, play games and socialize, and order products form websites is just amazing. These are some of the reasons that I and others love computers. But I have a question for you, why do you like or dislike computers?",10,1,Create,5,"The question requires students to produce a new piece of writing (a letter) expressing their opinion, which aligns with the 'Create' level of Bloom's Taxonomy."
"Write a story about a time when you, or someone you know, was patient.","One day when I was patient is when I was waiting was waiting @CAPS1 @NUM1 to come out of game stop. One day til  @CAPS1 @NUM1 come out I kept looking at the signs of the game and I said @CAPS2 must be a good game"". So instead of waiting at game stop I went home and played @ORGANIZATION1 football @NUM3 on my xbox @NUM4 then I got tired , tired and more tired so I fell aslteep on my pep game chair  till the morning. My older brother woke up and said ""lets go to gamestop to get @CAPS1"". So we went to game stop and waited in a long line for like an hour and thirty minutes til in was  are turn to buy @CAPS1 it  cost like @MONEY2. I had @MONEY3 my brother had @MONEY1 he did'nt wanna put no money in for the game and I said ""I'll pay @MONEY3 and you will @MONEY1. So we brought the game and played it tell we beat it.""",17,7,Create,5,"The question asks the user to 'write a story,' which involves generating new content and ideas, aligning with the 'Create' level of Bloom's Taxonomy."
The writers had to read an extract from *Rough Road Ahead: Do Not Exceed Posted Speed Limit* by Joe Kurmaskie. They then had to explain how the features of the setting affected the cyclist.,"The setting that affect the cyclist is the condition of the road because the road turns all different ways and the road goes up hill so it makes it harder to go up the road the cyclist has @NUM1 miles befor he gets to a town he could run out of water. If he run out of water befor he gets there, he might have to make stops so he doesn't make hisself sick. When he gets to the town he can get more water.",1,3,Analyze,5,"The question requires the writer to break down the text and examine the relationship between the setting's features and the cyclist's experience, which aligns with the 'Analyze' level."
The writers had to write a persuasive essay reflecting their views on censorship in libraries.,"I dont think so becuase what if that is all the person likes to read.  They could put all the bookes in to diffrent sections so that littel kids wont be learning words they shouldnt know wright now.  the librarian could also make it where you have to be a sertaint age to cheak out a book.      There are a bunch of ways to orginze them in to sectoins like make a kids section, a teenager section, and even an adult section. But i dont think the should take the out of the libary for good, becuse there are a lot of good books with some bad words in them. just becuase ther are some bad words in abook does not mean the book is bad",2,2,Create,5,"The prompt requires students to generate a new piece of writing (a persuasive essay) that reflects their own views, which aligns with the 'Create' level of Bloom's Taxonomy."
The writers had to write a persuasive essay reflecting their views on censorship in libraries.,"If content in a library is considered offensive, @CAPS1 should still remain on the shelf regardless. Perhaps the media would prove inappropriate for many, but select few will still value the media for what @CAPS1 is. Taking one kids cake because @CAPS1 has to much frosting would anger most kids (and adults).If a book, album, movie or a magazine is known to contain offensive or inappropriate material @CAPS1 should remain organized with the rest of @CAPS1's kind, not exiled in the furthest corner. When one checks out such media @CAPS1 they should be required to state they are comfortable with the fact that their media might contain inappropiate and/or offensive content.I personally find @CAPS2 @CAPS3 or in the context of a song, @ORGANIZATION1 fascinating. Every time i look up these poems i have to accept an agreement that I am comfortable with @CAPS1's violent or hateful content. Although, I do agree @CAPS1 should not be readily available to anyone looking for something new to read(or listen) without their consent.I believe that simply asking the costumer if they are comfortable with a form of media's content would prove suffice. No one wants to settle for less or no frosting, and they should not have to.",3,2,Create,5,"The prompt requires students to generate a new piece of writing (a persuasive essay) that reflects their personal views, which aligns with the 'Create' level of Bloom's Taxonomy."
The writers had to read an extract from *The Mooring Mast* by Marcia Amidon Lusted. They then had to answer a question about the difficulties faced by the builders of the Empire State Building in allowing dirigibles to dock there.,"The builders faced many obstacles when attempting to allow dirigibles to dock. One was that they had find away that would not make the building to unstable ""A thousand-foot dirigible moored at the top of the building... would add stress to the building's frame."" Another obstacles was the winds would be too strong and not safe for the dirigible to be up there ""the winds on top of the building were constantly shifting due to violent air currents."" A third example would be that it was too dangerous to have the dirigible up there because the gases with in were extremely flamible ""most dirigibles from outside of the united states used Hydrogen... and Hydrogen is highly flammable."" The final obstacles the builders would have to face was that there is a law that does not allow airships to come to close to the ground in urban areas. So in conclution we can see that even though it was a good idea to port dirigible is was not a practical one.",4,6,Analyze,5,"The question requires identifying and explaining the difficulties faced by the builders, which involves breaking down the problem into its components and examining the relationships between them."
The writers had to read an extract from *Rough Road Ahead: Do Not Exceed Posted Speed Limit* by Joe Kurmaskie. They then had to explain how the features of the setting affected the cyclist.,"The hot, dry, desert setting affects the cyclist in many different ways, I was traveling through the high deserts of California in June"" (@NUM1). The cyclist is very hot. He was thirsty but, ""A tarlike substance ooted out, followed by brakish water feeling somewhere in the neighborhood of zoo (@NUM2). The water was barely even water, so he didn't have much to drink until the next town. ""Flat road was replaced by short, rolling  hills"" (@NUM3). Flat road is much easier to bike on then hills. He was thirstier and more tired after biking on hills ""A sandblasted picture of a young boy pouring a refreshing glass of juice in his mouth could still be seen"" (@NUM4) on an old welchs grape fruit factory. This makes the cyclist envicus of the young boy. It also discourages him. In conclusion, the water being bad, the terrain change. the picture of the young boy, and the fact that the cyclist drinks a lot makes him tired, hot, envious, and generally exausted.""",3,3,Analyze,5,"The question requires the writers to break down the text and examine the relationship between the setting's features and their impact on the cyclist, which aligns with the 'Analyze' level."
The writers had to read an extract from *Narciso Rodriguez* by Narciso Rodriguez. They then had to describe the mood created by the author with supporting evidence from the extract.,"In the @ORGANIZATION1 amemorie when in 1961 Narciso was born into a simple house. A cuban home filled with traditions, and the very heart of whitch was the kitchen. His parents who loved to cook is still with him today and for whitch I am eternally grateful. Passionate music witch he adores today. His neighborhood was madeup of mostly Spanish, Cuban, and Italian imigrants like his family. His mother and father had come to this country with such courage without any knowledge or the culture. They came to selflessly, as many immigrants do, to give their children a better life, even though it ment leaving behind their families, friends, and career in the country they loved. They struggled both personally and financially, braving the harsh Northern winters while yearning for their native tropics and facing cultural hardships. His mood shows lots of positive thing's about his family being proud what he is and what he stands for having the blood of being cuban. He seems very pleased on his familyes sucsess.",4,5,Analyze,5,"The question requires identifying and describing the mood created by the author, which involves breaking down the text into its components and examining how they contribute to the overall feeling. This aligns with the analytical process of deconstruction and interpretation."
